Ω√¡°,Erlog
2020-07-29,7.084209657498045
2020-07-30,7.086988739176858
2020-07-31,7.083958154767915
2020-08-03,7.0853238917449115
2020-08-04,7.08550808156141
2020-08-05,7.080809021955176
2020-08-06,7.077742749367169
2020-08-07,7.081078135312391
2020-08-10,7.078577639383071
2020-08-11,7.077363023356016
2020-08-12,7.076729826068584
2020-08-13,7.076020168786357
2020-08-14,7.078788360006235
2020-08-17,7.076797386218256
2020-08-18,7.077278620212793
2020-08-19,7.07416761930991
2020-08-20,7.079740263674709
2020-08-21,7.083253610427966
2020-08-24,7.08096040712981
2020-08-25,7.080178003596844
2020-08-26,7.078004254541822
2020-08-27,7.077683690346098
2020-08-28,7.074641657275683
2020-08-31,7.079588693661703
2020-09-01,7.075758144179902
2020-09-02,7.081691779241652
2020-09-03,7.080060169389437
2020-09-04,7.082212660719289
2020-09-07,
2020-09-08,7.080607139399666
2020-09-09,7.077599314264979
2020-09-10,7.077000039285343
2020-09-11,7.0788052157380275
2020-09-14,7.074345409881552
2020-09-15,7.07326124284753
2020-09-16,7.069874128458572
2020-09-17,7.068384924907105
2020-09-18,7.058930106779255
2020-09-21,7.061977384829925
2020-09-22,7.06033043260526
2020-09-23,7.060098612256406
2020-09-24,7.065177743536931
2020-09-25,7.067072588760754
2020-09-28,7.063116654193308
2020-09-29,7.064476936725807
2020-09-30,7.0613086375914484
2020-10-01,7.058801143855916
2020-10-02,7.061402975191484
2020-10-05,7.0542510200982855
2020-10-06,7.057897937411856
2020-10-07,7.054803654190876
2020-10-08,7.049636712778069
2020-10-09,7.041814032527442
2020-10-12,
2020-10-13,7.045253792167771
2020-10-14,7.044538877447568
2020-10-15,7.041437910169532
2020-10-16,7.044748173689721
2020-10-19,7.040326210511535
2020-10-20,7.037598629130887
2020-10-21,7.031838427187
2020-10-22,7.034616978571725
2020-10-23,7.029769351166337
2020-10-26,7.027997510558208
2020-10-27,7.028112775645871
2020-10-28,7.033294821677107
2020-10-29,7.030963571283585
2020-10-30,7.033497665906664
2020-11-02,7.034053072094766
2020-11-03,7.033770999564997
2020-11-04,7.0364738585797095
2020-11-05,7.02372333522607
2020-11-06,7.02197642307216
2020-11-09,7.014940129528651
2020-11-10,7.018965650817983
2020-11-11,
2020-11-12,7.014769426636619
2020-11-13,7.011637702800233
2020-11-16,7.009300525748804
2020-11-17,7.007899211900985
2020-11-18,7.008251985473762
2020-11-19,7.016546901654397
2020-11-20,7.0161432073979695
2020-11-23,7.01698629458186
2020-11-24,7.01295278135402
2020-11-25,7.009264387483798
2020-11-26,
2020-11-27,
2020-11-30,7.008315290636319
2020-12-01,7.009706991265801
2020-12-02,7.00320181312615
2020-12-03,6.999677909332474
2020-12-04,6.986427817633438
2020-12-07,6.986769765910163
2020-12-08,6.989703861629304
2020-12-09,6.988210209372522
2020-12-10,6.991020481146182
2020-12-11,6.9950607793799024
2020-12-14,6.996855306555068
2020-12-15,6.995967601214927
2020-12-16,6.997330865574502
2020-12-17,6.996644890983539
2020-12-18,7.002492567442822
2020-12-21,7.009436032612434
2020-12-22,7.009517327917675
2020-12-23,7.009336662707883
2020-12-24,
